"popu","sensibility","ppv","npv","specificity","siteid"
"all",0.769230769230769,0.786516853932584,0.910638297872341,0.918454935622318,"FRBDX"
"less_50",0.833333333333333,0.882352941176471,0.9625,0.974683544303797,"FRBDX"
