"variable","GROUP","concept","value","periode_group","time","siteid"
"B48","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B49","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B49","OTHERS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"B50","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B54","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B54","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B80","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B86","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B90","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B91","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B94","ARDS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"B94","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B94","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B95","ARDS_18_49","DIAG-ICD10",4,"all","all","FRBDX"
"B95","ARDS_sup_49","DIAG-ICD10",39,"all","all","FRBDX"
"B95","NO_ARDS_18_49","DIAG-ICD10",4,"all","all","FRBDX"
"B95","NO_ARDS_sup_49","DIAG-ICD10",40,"all","all","FRBDX"
"B95","OTHERS_sup_49","DIAG-ICD10",16,"all","all","FRBDX"
"B96","ARDS_18_49","DIAG-ICD10",5,"all","all","FRBDX"
"B96","ARDS_sup_49","DIAG-ICD10",50,"all","all","FRBDX"
"B96","NO_ARDS_18_49","DIAG-ICD10",12,"all","all","FRBDX"
"B96","NO_ARDS_sup_49","DIAG-ICD10",62,"all","all","FRBDX"
"B96","OTHERS_sup_49","DIAG-ICD10",26,"all","all","FRBDX"
"B97","ARDS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"B98","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B98","NO_ARDS_sup_49","DIAG-ICD10",5,"all","all","FRBDX"
"B98","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C10","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C11","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C16","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C18","NO_ARDS_sup_49","DIAG-ICD10",4,"all","all","FRBDX"
"C20","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C22","NO_ARDS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"C24","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C25","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C25","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C34","ARDS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"C34","NO_ARDS_sup_49","DIAG-ICD10",11,"all","all","FRBDX"
"C34","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C43","NO_ARDS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"C44","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C45","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C48","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C49","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C50","NO_ARDS_sup_49","DIAG-ICD10",10,"all","all","FRBDX"
"C53","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C54","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C55","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C56","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C61","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C61","NO_ARDS_sup_49","DIAG-ICD10",9,"all","all","FRBDX"
"C61","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C64","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C64","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C64","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C67","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
